Date,Town,State/Province,Latitude,Longitude,Number
11/22/2012,Juarez,NL,25.7,-100.1,62
11/8/2012,"Paradero ""Gallitos""",TAM,23.7,-99.1,69
11/8/2012,Cerca de las Caba�as La Florida,TAM,23.7,-99.1,19
11/8/2012,Miqui-Bust Ej. Gabino Vazquez,TAM,23.7,-99.1,5
11/8/2012,cerca del Ejido Altamira Miquihuana,TAM,23.7,-99.1,7
11/8/2012,Carretera Miquihuana entronque,TAM,23.7,-99.1,2
11/7/2012,"Ej. Padron de Juarez, Jaumave",TAM,23.7,-99.1,8
11/7/2012,Camino al Cielo entrando por Jaumav,TAM,23.7,-99.1,4
11/7/2012,Ejido El Duraznillo,TAM,23.7,-99.1,3
11/7/2012,Rancho El Coyolar,TAM,23.7,-99.1,2
11/7/2012,Paso Real de Guerrero,TAM,23.7,-99.1,840
11/7/2012,Ejido 6 de Enero,TAM,23.7,-99.1,14
11/7/2012,Rancho Las Cruzitas,TAM,23.7,-99.1,3
11/7/2012,"El Contadero, Ocampo",TAM,23.7,-99.1,6
11/7/2012,Carretera Rumbo a Ocampo,TAM,23.7,-99.1,120
11/7/2012,Rio Verde,SLP,21.9,-100,60
11/6/2012,Soquel,CA,37,-121.9,300
11/1/2012,Mineola,TX,32.7,-95.5,6
10/31/2012,Saltillo,COA,25.4,-101,28
10/30/2012,Soquel,CA,37,-121.9,50
10/30/2012,Saltillo,COA,25.4,-101,77
10/30/2012,Saltillo,COA,25.4,-101,197
10/29/2012,Los Pinolillos,NL,25.6,-100.1,147
10/29/2012,Santiago,NL,25.4,-99.8,28
10/29/2012,San Pedro Garza Garcia,NL,25.7,-100.3,501
10/29/2012,San Nicolas de los Garza,NL,25.8,-100.3,1
10/28/2012,Monterrey,NL,25.8,-100.4,50
10/28/2012,Port Lavaca,TX,28.5,-96.7,60
10/28/2012,Santiago,NL,25.4,-99.8,49
10/28/2012,Angangueo,MIC,19.6,-100.3,33
10/28/2012,Monterrey,NL,25.7,-100.3,100
10/28/2012,Monterrey,NL,25.7,-100.3,53
10/27/2012,Fort Morgan,AL,30.2,-88,500
10/27/2012,Querétaro,QUE,20.6,-100.4,25
10/26/2012,Fairhope,AL,30.5,-87.9,1000
10/26/2012,Acuña,COA,29,-101,65
10/25/2012,Cape May Point,NJ,38.9,-74.9,101
10/24/2012,Houston,TX,29.8,-95.4,30
10/24/2012,Cape May Point,NJ,38.9,-74.9,62
10/24/2012,Brandon,MS,32.3,-89.9,12
10/24/2012,Brackettville,TX,29.4,-100.4,100
10/23/2012,Llano,TX,30.6,-98.7,100
10/22/2012,Sabinal,TX,29.3,-99.5,1
10/21/2012,Vermillion Bay,LA,29.4,-92.2,25
10/20/2012,Llano River,TX,30.9,-99.7,500
10/20/2012,Fort Morgan,AL,30.2,-88,4000
10/20/2012,Metairie,LA,30,-90.2,6
10/19/2012,Bertram,TX,30.7,-98,300
10/19/2012,Jimenez,COA,25.8,-103.4,5
10/19/2012,San Pedro Garza Garcia,NL,25.7,-100.3,501
10/17/2012,The Woodlands,TX,30.2,-95.5,8
10/17/2012,Gulf Breeze,FL,30.4,-87.1,30
10/16/2012,Sabinas,COA,27.8,-101.1,48
10/15/2012,Lampasas,TX,31.1,-98.2,124
10/15/2012,Temple,TX,31.1,-97.3,114
10/15/2012,Utopia,TX,29.6,-99.6,500
10/15/2012,Madison,GA,33.6,-83.5,50
10/14/2012,Greenwood,SC,34.1,-82.2,25
10/14/2012,Assateague Island,VA,38,-75.3,300
10/14/2012,Lampasas,TX,31.1,-98.2,83
10/12/2012,Dallas,TX,32.8,-96.8,50
10/12/2012,Assateague Island,VA,38,-75.3,1000
10/12/2012,Stone Harbor,NJ,39,-74.8,50
10/11/2012,Mesquite,TX,32.8,-96.6,14
10/11/2012,Plano,TX,33.1,-96.7,30
10/11/2012,Dallas,TX,32.8,-96.8,20
10/11/2012,Bastrop,LA,32.9,-91.9,12
10/11/2012,Menard County,TX,30.9,-99.8,450
10/10/2012,Keene,TX,32.4,-97.3,53
10/10/2012,Bayville,NJ,39.9,-74.2,30
10/10/2012,Chalk Mountain,TX,32.1,-97.9,150
10/10/2012,Lincolnton,NC,35.4,-81.3,25
10/10/2012,Raleigh,NC,35.8,-78.6,900
10/10/2012,Boyds,MD,39.2,-77.3,1
10/9/2012,Chalk Mountain,TX,32.1,-97.9,150
10/9/2012,Lone Pine,CA,36.5,-117.9,1000
10/8/2012,Chalk Mountain,TX,32.1,-97.9,500
10/8/2012,Acuna,COA,29,-101,50
10/6/2012,Dawsonville,GA,34.4,-84.2,12
10/6/2012,Isle of Palms,SC,32.8,-79.8,57
10/6/2012,Boiling Springs,NC,35.2,-81.7,30
10/6/2012,Cape May,NJ,39,-74.9,300
10/6/2012,Travelers Rest,SC,35.1,-82.4,75
10/6/2012,lake jocassee,SC,35,-83,125
10/6/2012,ash springs,NV,37.5,-115.2,100
10/6/2012,Westhampton Beach,NY,40.8,-72.6,100
10/6/2012,Catawba County,NC,35.7,-81.2,100
10/6/2012,Pfafftown,NC,36.2,-80.4,18
10/6/2012,Surf City,NJ,39.7,-74.2,24
10/6/2012,Gainesville,GA,34.3,-83.8,1
10/5/2012,Statesville,NC,35.8,-80.9,75
10/5/2012,hoschton,GA,34.1,-83.8,30
10/5/2012,Cape May Point,NJ,38.9,-74.9,1000
10/5/2012,Marblehead,MA,42.5,-70.9,26
10/5/2012,Ruckersville,VA,38.2,-78.4,50
10/5/2012,Cape May,NJ,39,-74.9,2000
10/5/2012,Assateague Island,VA,38,-75.3,1
10/5/2012,Lincolnton,NC,35.5,-81.2,10
10/5/2012,Braselton,GA,34.1,-83.8,15
10/5/2012,Winston-Salem,NC,36.1,-80.2,1
10/4/2012,Canton,GA,34.2,-84.5,18
10/4/2012,WINSTON SALEM,NC,36.1,-80.2,12
10/4/2012,Rhodhiss,NC,35.8,-81.4,20
10/4/2012,Graford,TX,32.9,-98.5,200
10/4/2012,Milltown,NJ,40.4,-74.4,35
10/4/2012,Milltown,NJ,40.4,-74.4,35
10/4/2012,Cub Run,KY,37.3,-86.1,8
10/3/2012,Jasper,GA,34.5,-84.5,1
10/3/2012,Yorkville,OH,40.2,-80.7,10
10/3/2012,Cartersville,GA,34.2,-84.8,1000
10/3/2012,Union,WV,37.6,-80.5,17
10/3/2012,Escanaba,MI,45.8,-87.2,12
10/3/2012,Jackson,NJ,40.1,-74.4,10
10/3/2012,Franklin,KY,36.7,-86.6,10
10/3/2012,Franklin,TN,35.9,-86.9,30
10/3/2012,Waynesville,NC,35.3,-83,400
10/3/2012,Nashville,TN,36.1,-86.8,12
10/3/2012,Menard,TX,30.9,-99.8,30
10/2/2012,White,GA,34.3,-84.7,10
10/2/2012,king george,VA,38.3,-77.1,14
10/2/2012,Pemigewasset River,NH,44.1,-71.6,40
10/2/2012,Fordsville,KY,37.6,-86.7,10
10/2/2012,Cartersville,GA,34.2,-84.8,22
10/1/2012,Abilene,TX,32.5,-99.7,200
10/1/2012,Cape May Point,NJ,38.9,-74.9,1000
10/1/2012,Jackson,NJ,40.1,-74.4,20
10/1/2012,Cape May,NJ,39,-74.9,1000
9/30/2012,Louisville,KY,38.3,-85.8,100
9/30/2012,Cape May Point,NJ,38.9,-74.9,1
9/30/2012,Clarksville,TN,36.5,-87.3,30
9/30/2012,Cape May,NJ,39,-74.9,1000
9/30/2012,Candler,NC,35.5,-82.7,51
9/30/2012,Cape May Point,NJ,38.9,-74.9,10000
9/30/2012,Roaring Gap,NC,36.4,-81,22
9/30/2012,LaGrange,KY,38.4,-85.3,600
9/30/2012,Jasper,GA,34.5,-84.5,30
9/30/2012,Waynesville,NC,35.6,-83.1,36
9/30/2012,Stillwater,OK,36.1,-97.1,39
9/30/2012,Kingfisher,OK,35.9,-98,30
9/30/2012,Robert Moses Beach Babylon,NY,40.6,-73.3,350
9/29/2012,Beach Haven,NJ,39.6,-74.2,30
9/29/2012,Chincoteague,VA,37.9,-75.3,2
9/29/2012,Cape May,NJ,39,-74.9,10000
9/29/2012,Cape May Point,NJ,38.9,-74.9,1000
9/29/2012,Bat Cave,NC,35.5,-82.3,50
9/29/2012,Beach Haven,NJ,39.6,-74.2,150
9/29/2012,Kodak,TN,36,-83.6,23
9/29/2012,Wildwood,NJ,39,-74.8,42
9/28/2012,Folly Beach,SC,32.7,-79.9,60
9/28/2012,Dawsonville,GA,34.4,-84.2,50
9/28/2012,Staten Island,NY,40.6,-74.1,100
9/28/2012,Hazlet,NJ,40.4,-74.2,75
9/28/2012,Boiling Springs,NC,35.2,-81.7,20
9/27/2012,Charlotte,NC,35.2,-80.8,32
9/27/2012,Cape May Point,NJ,38.9,-74.9,3000
9/27/2012,City of Cape May,NJ,40.1,-74.4,300
9/27/2012,turnerville,GA,34.7,-83.4,1000
9/27/2012,Middletown,RI,41.5,-71.3,52
9/26/2012,Cape May,NJ,40.1,-74.4,2000
9/26/2012,Cape May Point,NJ,38.9,-74.9,1
9/26/2012,Jasper,GA,34.5,-84.5,1
9/26/2012,Luna Pier,MI,41.8,-83.4,100
9/26/2012,Hendersonville,NC,35.3,-82.5,22
9/25/2012,Statesville,NC,35.8,-80.9,12
9/25/2012,Branson,MO,36.6,-93.2,50
9/25/2012,Cape May Point,NJ,38.9,-74.9,1
9/25/2012,Gloucester,MA,42.6,-70.7,100
9/25/2012,Caesar's Head,SC,35.1,-82.6,50
9/25/2012,pisgah forest,NC,35.3,-82.7,2000
9/25/2012,Brevard,NC,35.2,-82.8,84
9/25/2012,Whitby,ON,43.9,-78.9,128
9/24/2012,Port Stanley,ON,42.7,-81.2,300
9/24/2012,Sharonville,OH,39.3,-84.4,40
9/24/2012,Cape May Point,NJ,38.9,-74.9,5000
9/24/2012,Walnut Grove,MO,37.4,-93.5,5
9/23/2012,Old Fort,NC,35.5,-82.2,30
9/23/2012,Old Fort,NC,35.6,-82.2,100
9/23/2012,mountain top,PA,41.1,-76,18
9/23/2012,Winfield,KS,37.2,-96.9,20
9/23/2012,Wantagh,NY,40.7,-73.5,100
9/23/2012,Marion,NC,35.7,-82,100
9/23/2012,Kingfisher,OK,35.9,-98,10
9/23/2012,Cape May Point,NJ,38.9,-74.9,100
9/23/2012,Baltimore,MD,39.3,-76.6,7
9/23/2012,Branson,MO,36.6,-93.2,100
9/23/2012,Cape May,NJ,39,-74.9,800
9/23/2012,Clearville Park,ON,42.5,-81.7,250
9/23/2012,Westhampton Beach,NY,40.8,-72.6,7000
9/23/2012,Unity,ME,44.6,-69.3,7
9/22/2012,Port Rowan,ON,42.6,-80.5,30
9/22/2012,mountain top,PA,41.1,-76,21
9/22/2012,Lancaster,PA,40.1,-76.3,80
9/22/2012,Roaring Gap,NC,36.4,-81,150
9/22/2012,Boone,NC,36.2,-81.7,80
9/22/2012,Kingfisher,OK,35.9,-98,20
9/22/2012,Hendersonville,NC,35.3,-82.5,43
9/22/2012,Bloomingdale,NJ,41,-74.3,11
9/22/2012,Clearville Park,ON,42.5,-81.7,600
9/22/2012,Lancaster,PA,40.1,-76.3,85
9/21/2012,Clearville Park,ON,42.5,-81.7,1000
9/21/2012,Boone,NC,36.2,-81.7,20
9/21/2012,Fairlawn,VA,37.2,-80.6,60
9/21/2012,Montclair,NJ,40.8,-74.2,5000
9/21/2012,Toronto,ON,43.7,-79.4,40
9/21/2012,Monroe,VA,37.6,-79.2,37
9/21/2012,"Washington, D.C.",VA,39,-77.3,9
9/21/2012,el dorado,KS,37.9,-96.8,50
9/20/2012,Roanoke,VA,37.3,-79.9,50
9/20/2012,manhattan,NY,40.8,-74,9
9/20/2012,North Arlington,NJ,40.8,-74.1,100
9/20/2012,"Lake Toxaway,",NC,35.1,-82.9,20
9/20/2012,Roanoke,VA,37.5,-79.9,23
9/19/2012,Fishers,IN,40,-86,40
9/19/2012,Ocean Isle,NC,33.9,-78.4,52
9/19/2012,Schoodic Point,ME,44.3,-68.1,100
9/19/2012,Old Orchard beach,ME,43.5,-70.4,120
9/19/2012,Cincinnati,OH,39.1,-84.5,30
9/19/2012,Williston,VT,44.4,-73.1,6
9/19/2012,Port Clyde,ME,43.9,-69.3,100
9/19/2012,Wakefield,RI,41.4,-71.5,100
9/19/2012,Madison,CT,41.3,-72.6,100
9/19/2012,Cape Elizabeth,ME,43.6,-70.2,200
9/19/2012,Robert Moses Beach,NY,40.6,-73.3,1500
9/19/2012,Beach Haven,NJ,39.6,-74.2,32
9/19/2012,beach haven,NJ,39.6,-74.2,35
9/19/2012,South Kingstown,RI,41.4,-71.5,1000
9/19/2012,Westhampton Beach,NY,40.8,-72.6,100000
9/19/2012,gloucester,MA,42.6,-70.7,100
9/19/2012,Aquinnah,MA,41.3,-70.8,1000
9/19/2012,Annapolis,MD,39,-76.6,1
9/19/2012,Point Pelee National Park,ON,42,-82.5,800
9/19/2012,Marblehead,MA,42.5,-70.9,250
9/18/2012,Beverly,MA,42.6,-70.9,75
9/18/2012,Mount Vernon,OH,40.4,-82.5,16
9/17/2012,Staten Island,NY,40.6,-74.1,18
9/17/2012,Gladstone,MO,39.2,-94.6,19
9/17/2012,Staten Island,NY,40.6,-74.1,100
9/17/2012,Gladstone,MO,39.2,-94.6,23
9/17/2012,Everett,MA,42.4,-71.1,12
9/17/2012,Gladstone,MO,39.2,-94.6,68
9/17/2012,Marlboro,NJ,40.1,-74.4,38
9/17/2012,Watertown,MA,42.4,-71.2,15
9/17/2012,"Nissequoque, NY",NY,40.9,-73.2,150
9/17/2012,West Island,MA,41.6,-70.8,150
9/17/2012,Walpole,MA,42.1,-71.3,42
9/16/2012,Staten Island,NY,40.6,-74.1,32
9/16/2012,Kennebunkport,ME,43.4,-70.5,40
9/16/2012,Kittery,ME,43.1,-70.7,1000
9/16/2012,Kittery,ME,43.1,-70.7,1000
9/16/2012,Newport,RI,41.5,-71.3,300
9/16/2012,Prairie City,IA,41.6,-93.7,35
9/16/2012,Lansdale,PA,40.2,-75.3,7
9/16/2012,Mattapoisett,MA,41.7,-70.8,16
9/16/2012,Taunton,MA,41.9,-71.1,1
9/16/2012,Barnegat Light,NJ,39.8,-74.1,25
9/16/2012,Gilgo Beach,NY,40.6,-73.4,3000
9/16/2012,Rye,NH,43,-70.8,200
9/16/2012,BURLINGTON,CT,41.8,-73,20
9/16/2012,Granville,OH,40.1,-82.5,300
9/16/2012,Ormond Beach,FL,29.3,-81.1,200
9/15/2012,Gladstone,MO,39.2,-94.6,32
9/15/2012,jamestown,RI,41.4,-71.4,1000
9/15/2012,Mattapoisett,MA,41.7,-70.8,500
9/15/2012,Prairie City,IA,41.6,-93.3,38
9/15/2012,Hampton Beach,NH,42.9,-70.8,100
9/15/2012,Seaside Park,NJ,39.8,-74.1,40
9/15/2012,Clearville Park,ON,42.5,-81.7,5400
9/15/2012,Salem,MA,42.5,-70.9,1
9/15/2012,Boston Lighthouse,MA,42.3,-70.9,100
9/15/2012,Robert Moses Beach,NY,40.6,-73.3,2000
9/15/2012,Islip,NY,40.7,-73.2,1000
9/15/2012,"Monument Beach, Mass",MA,42.5,-72.6,35
9/15/2012,Greenwood,IN,39.6,-86.2,18
9/15/2012,Margate,NJ,39.3,-74.5,30
9/15/2012,"So.Yarmouth,Me.@sea gull beach",MA,41.6,-70.2,140
9/15/2012,Provincetown,MA,42.2,-70.2,20
9/14/2012,Gladstone,MO,39.2,-94.6,30
9/14/2012,Boalsburg,PA,40.8,-77.8,170
9/14/2012,Prairie City,IA,41.6,-93.3,15
9/14/2012,Clearville Park,ON,42.5,-81.7,6300
9/14/2012,Milwaukee,WI,43.1,-87.9,40
9/14/2012,Center Junction,IA,42.1,-91.1,15
9/13/2012,Boalsburg,PA,40.8,-77.8,200
9/13/2012,mt vernon,IA,41.9,-91.4,118
9/13/2012,Hanover,NH,43.7,-72.3,6
9/13/2012,Charlotte,VT,44.3,-73.2,24
9/13/2012,Stony Brook,NY,40.9,-73.1,1
9/13/2012,Stony Brook,NY,40.9,-73.1,13
9/13/2012,Chambly,QC,45.5,-73.3,100
9/13/2012,Williston,VT,44.4,-73.1,90
9/13/2012,Portsmouth,NH,43.1,-70.8,24
9/12/2012,Harpswell,ME,43.7,-70,60
9/12/2012,Calais,VT,44.4,-72.5,1
9/12/2012,Prairie City,IA,41.6,-93.3,92
9/12/2012,Two Rivers,WI,44.2,-87.6,12
9/11/2012,"Fair Harbor, Fire Island",NY,40.6,-73.2,1
9/11/2012,Hampton Bays,NY,40.9,-72.5,100
9/11/2012,Quogue,NY,40.8,-72.6,40
9/11/2012,Boalsburg,PA,40.8,-77.8,1
9/11/2012,Jamestown,RI,41.5,-71.4,15
9/11/2012,Prairie City,IA,41.6,-93.3,21
9/11/2012,Cape May,NJ,39,-74.9,420
9/11/2012,Long Branch,NJ,40.4,-74,20
9/11/2012,Charlotte,VT,44.3,-73.2,12
9/11/2012,mt vernon,IA,41.9,-91.4,94
9/11/2012,Adel,IA,41.7,-94.1,50
9/11/2012,Cape May Point State Park,NJ,39.1,-74.8,1000
9/11/2012,Galesburg,IL,41,-90.4,3
9/10/2012,Montauk,NY,41,-71.9,76
9/10/2012,Wainscott,NY,41,-72.2,100
9/10/2012,South Haven,MI,42.4,-86.2,36
9/10/2012,Kempton,PA,40.6,-75.9,2806
9/10/2012,Kempton,PA,40.6,-75.9,2806
9/10/2012,City of Cape May,NJ,40.1,-74.4,300
9/10/2012,duluth,MN,47.1,-91.9,5
9/9/2012,Barre,MA,42.4,-72.1,89
