Date,Town,State/Province,Latitude,Longitude,Number
11/16/2001,Metairie,LA,30,-90.2,1
11/1/2001,Metairie,LA,30,-90.2,1
10/29/2001,Monterrey,NL,25.7,-100.3,1
10/24/2001,Laurel,MS,31.7,-89.1,1
10/23/2001,Bryan,TX,30.6,-96.4,1
10/22/2001,Laurel,MS,31.7,-89.1,1
10/21/2001,Santiago de Queretaro,QUE,20.4,-100.2,1
10/20/2001,St. Marks,FL,30.2,-84.2,1
10/20/2001,Real de Catorce,SLP,23.8,-100.7,1
10/19/2001,Carrizo Springs,TX,28.5,-100,1
10/19/2001,Huntsville,TX,30.7,-95.6,1
10/19/2001,San Luis Potosi,SLP,22.5,-101,1
10/19/2001,Laurel,MS,31.7,-89.1,1
10/18/2001,Rio Verde,SLP,22,-100,1
10/18/2001,Toliman,QUE,21,-100,1
10/17/2001,Carrizo Springs,TX,28.3,-99.6,1
10/16/2001,Kerrville,TX,30,-99.1,1
10/15/2001,Austin,TX,30.2,-97.7,1
10/14/2001,Keller,TX,32.9,-97.3,1
10/14/2001,Waxahachie,TX,32.3,-96.8,1
10/14/2001,Garfield,TX,29,-97.7,1
10/14/2001,Nederland,TX,30,-94,1
10/14/2001,Eagle Pass,TX,28.5,-100.5,1
10/14/2001,Lockhart,TX,29.9,-97.7,1
10/14/2001,Rochester,NY,43.2,-77.6,1
10/14/2001,Victoria,TX,28.8,-97,1
10/14/2001,Richardson,TX,33,-96.7,1
10/14/2001,Temple,TX,31.1,-97.3,1
10/14/2001,Irving,TX,32.9,-97,1
10/14/2001,Hondo,TX,29.4,-99.1,1
10/14/2001,Cibolo,TX,29.6,-98.2,1
10/14/2001,Pinal de Amoles,QUE,21.3,-99.5,1
10/13/2001,Monterrey,NL,25.7,-100.3,1
10/13/2001,Saltillo,COA,25.4,-101,1
10/13/2001,Falcon Heights,TX,26.6,-99.1,1
10/13/2001,Santiago,NL,25.4,-99.8,1
10/12/2001,Eagle Pass,TX,28.5,-100.5,1
10/12/2001,Piedras Negras,COA,28.4,-100.3,1
10/12/2001,San Marcos,TX,29.9,-98,1
10/12/2001,Piedras Negras,COA,28.4,-100.3,1
10/12/2001,Saltillo,COA,25.4,-101,1
10/11/2001,Bryan,TX,30.6,-96.4,1
10/11/2001,Cedar Park,TX,30.5,-97.8,1
10/11/2001,Eagle Pass,TX,28.5,-100.5,1
10/11/2001,Frontera,COA,27,-102.1,1
10/10/2001,Demorest,GA,34.6,-83.6,1
10/9/2001,Monclova,COA,26.8,-101.5,1
10/8/2001,Garza Garcia,NL,25.7,-101.4,1
10/7/2001,Carrizo Springs,TX,28.5,-100,1
10/7/2001,Tarpley,TX,29.6,-99.2,1
10/7/2001,Bertram,TX,30.7,-98,1
10/6/2001,Del Rio,TX,29.9,-100.9,1
10/6/2001,Spring Branch,TX,29.9,-98.4,1
10/6/2001,Houston,TX,29.8,-95.4,1
10/6/2001,New Haven,CT,41.3,-72.9,1
10/6/2001,Abilene,TX,32.5,-99.7,1
10/6/2001,San Antonio,TX,29.5,-98.5,1
10/5/2001,Stephenville,TX,32.2,-98.2,1
10/4/2001,New Hampton,NY,41.3,-74.5,1
10/4/2001,Laurel,MS,31.7,-89.1,1
10/4/2001,New Orleans,LA,30,-90.1,1
10/3/2001,East Bridgewater,MA,42,-70.9,1
10/3/2001,Graham,TX,33.1,-98.6,1
