Date,Town,State/Province,Latitude,Longitude,Number
12/9/2022,Milton,TN,35.9,-86.2,1
11/10/2022,Boerne,TX,29.8,-98.7,200
11/10/2022,Pearl,TX,31.4,-98,15
11/9/2022,Comfort,TX,30.1,-98.8,14
11/9/2022,Boerne,TX,29.8,-98.7,43
11/6/2022,Cd Victoria,TAM,23.7,-99.1,10
11/6/2022,Acámbaro,GUA,20,-100.7,3
11/6/2022,Acámbaro,GUA,20,-100.7,5
11/6/2022,Joya Verde,TAM,23.6,-99.2,50
11/5/2022,Pearl,TX,31.4,-98,75
11/5/2022,San Antonio,TX,29.4,-98.4,20
11/5/2022,Fortines y Emiliano Zapata,TAM,22.6,-99.1,20
11/5/2022,Cd Victoria,TAM,23.7,-99.1,10
11/5/2022,Rancho De San Jose,GUA,20.9,-100.4,50
11/5/2022,Mesita del Tigre,GUA,21.3,-100.3,127
11/5/2022,San José Iturbide,GUA,21,-100.4,100
11/5/2022,Gulf Shores,AL,30.2,-87.7,57
11/4/2022,Cd Victoria,TAM,23.7,-99.1,64
11/4/2022,El Pedregal,SLP,22.6,-99.3,68
11/4/2022,Dr Mora,GUA,21.1,-100.3,1000
11/4/2022,Jerécuaro,GUA,20.2,-100.5,2
11/4/2022,Jardines del Alba,GUA,21.3,-100.5,40
11/3/2022,Folly Beach,SC,32.7,-79.9,109
11/3/2022,Lampasas,TX,31.1,-98.2,14
11/3/2022,Cd Victoria,TAM,23.7,-99.1,163
11/3/2022,Cinco Pinos,TAM,23.7,-99.6,65
11/3/2022,Boerne,TX,29.8,-98.7,13
11/2/2022,Cd Victoria,TAM,23.7,-99.2,10
11/2/2022,Joya Verde,TAM,23.6,-99.2,1000
11/2/2022,Folly Beach,SC,32.7,-79.9,300
11/2/2022,Austin,TX,30.3,-97.7,7
11/2/2022,Ciudad Victoria,TAM,23.8,-99.2,116
11/2/2022,Houston,TX,29.8,-95.5,16
11/2/2022,Boerne,TX,29.8,-98.7,67
11/2/2022,Attila,IL,37.8,-88.8,2
11/1/2022,Junction,TX,30.5,-99.8,15
11/1/2022,Carboneras,TAM,24.6,-97.7,10
11/1/2022,Cd Victoria,TAM,23.8,-99.1,3
11/1/2022,Plainview,TX,34.2,-101.7,16
11/1/2022,Myrtle Beach,SC,33.7,-78.9,200
11/1/2022,Conway,SC,33.8,-79,14
11/1/2022,Amherstburg,ON,42,-83,6
10/31/2022,Houston,TX,29.6,-95.1,12
10/31/2022,Orange Beach,AL,30.3,-87.6,42
10/31/2022,Bryan,TX,30.7,-96.4,10
10/31/2022,Fayetteville,TX,29.9,-96.7,14
10/31/2022,Gulf Highlands,AL,30.2,-87.9,25
10/31/2022,Pearl,TX,31.4,-98,25
10/30/2022,Carboneras,TAM,24.6,-97.7,12
10/30/2022,Carvajal,TAM,24.6,-97.7,5
10/30/2022,Cd Victoria,TAM,23.7,-99.2,10
10/30/2022,Carboneras,TAM,24.6,-97.7,22
10/30/2022,Carboneras,TAM,24.6,-97.7,16
10/30/2022,Goleta,CA,34.4,-119.9,201
10/30/2022,Gasque,AL,30.2,-87.8,40
10/29/2022,Santa Catarina,NLE,25.7,-100.4,150
10/29/2022,Saltillo,COA,25.4,-101,250
10/29/2022,Santiago,NLE,25.5,-100.2,40
10/29/2022,Saltillo,COA,25.4,-100.9,50
10/29/2022,Rockport,TX,28,-97,26
10/29/2022,Amherstburg,ON,42,-83,7
10/28/2022,Ciudad Victoria,TAM,23.8,-99.2,15
10/28/2022,Rockport,TX,28,-97,67
10/28/2022,El Jonuco,NLE,25.7,-100.6,20
10/28/2022,San Pedro Garza García,NLE,25.7,-100.4,30
10/28/2022,Santa Catarina,NLE,25.7,-100.4,80
10/28/2022,Sabinas,COA,27.8,-101.1,180
10/28/2022,El Cerrito,COA,25.5,-100.8,200
10/28/2022,Amherstburg,ON,42,-83,4
10/27/2022,Cape May,NJ,38.9,-74.9,32
10/27/2022,La Nigua,SLP,22.6,-99.4,20
10/27/2022,Austin,TX,30.3,-97.7,8
10/27/2022,Green Valley,AZ,31.9,-111,12
10/27/2022,San Pedro Garza García,NLE,25.7,-100.4,150
