Date,Town,State/Province,Latitude,Longitude,Number
12/12/2010,Harrisburg,NC,35.3,-80.7,1
11/16/2010,Port Lavaca,TX,28.5,-96.7,1
11/15/2010,Port Lavaca,TX,28.5,-96.7,1
11/9/2010,Querétaro,QUE,20.6,-100.4,1
11/7/2010,Port St Joe,FL,29.7,-85.4,1
11/6/2010,Port Lavaca,TX,28.5,-96.7,1
11/5/2010,Port Lavaca,TX,28.5,-96.7,1
11/5/2010,Matagorda beach,TX,28.6,-96,1
11/5/2010,San Clemente,CA,33.4,-117.6,1
11/5/2010,Galveston,TX,29.3,-94.8,1
11/4/2010,San Miguel de Allende,GUA,20.9,-100.8,1
11/2/2010,PANAMA CITY BEACH,FL,34.7,-83.5,1
11/1/2010,San Buenaventura,COA,27.1,-101.5,1
10/31/2010,Cypress,TX,30,-95.7,1
10/31/2010,Cerro de San Pedro,SLP,22.2,-100.8,1
10/31/2010,Monterrey,DUR,25.5,-103.6,1
10/31/2010,Cuatro Ciénegas,COA,27,-102.1,1
10/30/2010,Port Lavaca,TX,28.5,-96.7,1
10/30/2010,Padre Is Natl Seashore,TX,27,-97.4,1
10/30/2010,Montrose,AL,30.6,-87.9,1
10/30/2010,Tierra Nueva,SLP,21.7,-100.7,1
10/30/2010,Tierra Nueva,SLP,21.7,-100.7,1
10/30/2010,Chipinque/Monterrey,NL,25.7,-100.3,1
10/29/2010,Pensacola Beach,FL,30.3,-87.1,1
10/29/2010,New Orleans,LA,30,-90.1,1
10/28/2010,Port Lavaca,TX,28.5,-96.7,1
10/28/2010,Zaragoza,SLP,22,-100.7,1
10/28/2010,Port Lavaca,TX,28.5,-96.7,1
10/28/2010,San Felipe,GUA,21.5,-101.2,1
10/28/2010,Apaseo el Grande,GUA,20.6,-100.7,1
10/26/2010,Tequisquiapan,QUE,20.5,-99.9,1
10/26/2010,Frontera,COA,26.9,-101.5,1
10/25/2010,Monterrey,NL,25.6,-100.4,1
10/25/2010,Arlington,TX,32.7,-97.1,1
10/25/2010,San Pedro Garza García,NL,25.7,-100.3,1
10/25/2010,Santa Catarina,NL,25.7,-100.5,1
10/24/2010,Monterrey,NL,25.7,-100.3,1
10/24/2010,San Pedro Garza Garcï¿½a,NL,25.7,-100.3,1
10/24/2010,Pensacola,FL,30.4,-87.2,1
10/24/2010,Monterrey,NL,25.7,-100.3,1
10/24/2010,Monterrey,NL,25.7,-100.3,1
10/23/2010,Oak Island,NC,33.9,-78.1,1
10/23/2010,Pensacola Beach,FL,30.3,-87.1,1
10/23/2010,Gulfport,MS,30.4,-89.1,1
10/23/2010,Escobedo,NL,25.8,-100.3,1
10/23/2010,Saltillo,COA,25.4,-101,1
10/22/2010,SALTILLO,COA,25.4,-101,1
10/22/2010,St. George Island,FL,29.7,-84.9,1
10/22/2010,mandeville,LA,30.4,-90,1
10/22/2010,Myrtle Beach,SC,33.8,-78.8,1
10/22/2010,Saint Tammany Parish,LA,30.4,-90,1
10/22/2010,San Pedro Garza García,NL,25.7,-100.3,1
10/22/2010,San Pedro Garza García,NL,25.7,-100.3,1
10/22/2010,Saltillo,COA,25.4,-101,1
10/22/2010,Saltillo,COA,25.4,-101,1
10/22/2010,Saltillo,COA,25.4,-101,1
10/22/2010,Saltillo,COA,25.4,-101,1
10/22/2010,Saltillo,COA,25.4,-101,1
10/22/2010,Santiago,NL,25.4,-99.8,1
10/22/2010,Santa Catarina,NL,25.7,-100.5,1
10/22/2010,San Pedro Garza García,NL,25.7,-100.3,1
10/21/2010,Atlantic Beach,NC,34.7,-76.8,1
10/21/2010,Surf City,NC,34.4,-77.5,1
10/21/2010,SALTILLO,COA,25.4,-101,1
10/21/2010,Emerald Isle,NC,34.7,-77,1
10/21/2010,Cuatro Ciénegas,COA,27,-102.1,1
10/21/2010,Saltillo,COA,25.4,-101,1
10/20/2010,Myrtle Beach,SC,33.7,-78.9,1
10/20/2010,SALTILLO,COA,25.4,-101,1
10/20/2010,garza garcia,NL,25.7,-100.3,1
10/20/2010,Saltillo,COA,25.4,-101,1
10/20/2010,Saltillo,COA,25.4,-101,1
10/20/2010,Saltillo,COA,25.4,-101,1
10/20/2010,Saltillo,COA,25.4,-101,1
10/19/2010,Port Lavaca,TX,28.5,-96.7,1
10/19/2010,Mandeville,LA,30.4,-90,1
10/19/2010,Saltillo,COA,25.4,-101,1
10/19/2010,San Pedro Garza Garcï¿½a,NL,25.7,-100.3,1
10/19/2010,San Nicolás de los Garza,NL,25.8,-100.3,1
10/19/2010,Arteaga,COA,25.5,-100.9,1
10/19/2010,ST.Marks National Refuge,GA,31.1,-83.9,1
10/18/2010,New Orleans,LA,30,-90.2,1
10/18/2010,Swainsboro,GA,32.5,-82.3,1
10/18/2010,Pensacola Beach,FL,30.3,-87.1,1
10/18/2010,Piedras Negras,COA,28.4,-100.3,1
10/18/2010,Pensacola,FL,30.4,-87.2,1
10/18/2010,Monterrey,NL,25.7,-100.3,1
10/17/2010,Port Lavaca,TX,28.5,-96.7,1
10/17/2010,atlantic beach,NC,34.7,-76.8,1
10/17/2010,Swainsboro,GA,32.5,-82.3,1
10/17/2010,San Buenaventura,COA,27.1,-101.5,1
10/17/2010,Saltillo,COA,25.4,-101,1
10/17/2010,Port Lavaca,TX,28.5,-96.7,1
10/17/2010,Chincoteague NWR,VA,37.9,-75.3,1
10/17/2010,Oak Island,NC,33.9,-78.2,1
10/17/2010,San Pedro Garza García,NL,25.7,-100.3,1
10/16/2010,Sunset Beach,NC,33.9,-78.5,1
10/16/2010,Port Lavaca,TX,28.5,-96.7,1
10/16/2010,Freeport,TX,29,-95.3,1
10/16/2010,Atlantic Beach,NC,34.7,-76.7,1
10/16/2010,Eagle Pass,TX,28.7,-100.5,1
10/16/2010,Pensacola Beach,FL,30.4,-86.8,1
10/16/2010,Dularge,LA,29.3,-90.9,1
10/16/2010,Fort Fisher,NC,34,-77.9,1
10/16/2010,Eagle Pass,TX,28.6,-100.3,1
10/15/2010,Destin,FL,30.4,-86.5,1
10/15/2010,North Myrtle Beach,SC,33.8,-78.6,1
10/15/2010,Gulf Shores,AL,30.2,-87.8,1
10/15/2010,cameron,TX,30.8,-97,1
10/15/2010,Port Lavaca,TX,28.5,-96.7,1
10/15/2010,Navarre beach,FL,30.4,-86.9,1
10/15/2010,"HWY 277, N of Eagle Pass",TX,28.8,-100.5,1
10/15/2010,Ramos Arizpe,COA,25.6,-101,1
10/15/2010,Monterrey,COA,25.7,-100.3,1
10/15/2010,Monclova,COA,26.8,-101.5,1
10/15/2010,navarre,FL,30.4,-86.9,1
10/14/2010,Grapevine,TX,32.9,-97.1,1
10/14/2010,Sabinas,COA,27.9,-101.1,1
10/14/2010,ft pickens,FL,30.3,-87.3,1
10/13/2010,Harvey Cedars,NJ,39.7,-74.1,1
10/13/2010,Del Rio,TX,29.9,-100.9,1
10/13/2010,Cuatro Ciénegas,COA,27,-102.1,1
10/13/2010,Eagle Pass,TX,28.6,-100.3,1
10/13/2010,Bronte,TX,31.9,-100.3,1
10/13/2010,Cuatro Ciénegas,COA,27,-102.1,1
10/12/2010,Southlake,TX,32.9,-97.2,1
10/12/2010,del rio,TX,29.9,-100.9,1
10/12/2010,Vanderpool,TX,29.8,-99.5,1
10/12/2010,New Braunfels,TX,29.7,-98.1,1
10/12/2010,Greenville,NC,35.7,-77.4,1
10/11/2010,Broken Arrow,OK,36,-95.8,1
10/11/2010,OLD GREENWICH,CT,41,-73.6,1
10/10/2010,Sandestin,FL,30.4,-86.3,1
10/10/2010,Fort Walton Beach,FL,30.4,-86.6,1
10/10/2010,Milton,DE,38.8,-75.3,1
10/10/2010,Ventnor,NJ,39.3,-74.5,1
10/10/2010,Cape May,NJ,39,-74.9,1
10/10/2010,Seagrove Beach,FL,30.3,-86.1,1
10/10/2010,Assateague Island,VA,38,-75.3,1
10/10/2010,Hampton,VA,37,-76.4,1
10/10/2010,Wildwood Crest,NJ,39,-74.8,1
10/10/2010,Ft. Morgan,AL,30.2,-88,1
10/9/2010,Hutchinson,KS,38,-98.1,1
10/9/2010,panama city,FL,30.2,-85.6,1
10/9/2010,Ocean City,NJ,39.4,-74.6,1
10/9/2010,Gulf Breeze,FL,30.4,-87.1,1
10/9/2010,Ocean City,NJ,39.3,-74.5,1
10/9/2010,Ventnor,NJ,39.3,-74.5,1
10/9/2010,Assateague Island,VA,38,-75.3,1
10/9/2010,chincoteague,VA,37.9,-75.3,1
10/9/2010,Metairie,LA,30,-90.2,1
10/9/2010,Odessa,TX,31.8,-102.3,1
10/9/2010,avalon,NJ,39.1,-74.7,1
10/9/2010,Cape May,NJ,39,-74.9,1
10/8/2010,San Angelo,TX,31.6,-100.5,1
10/8/2010,Avalon,NJ,39.1,-74.7,1
10/8/2010,Ocean City,MD,38.3,-75.1,1
10/8/2010,Eglin Air Force Base,FL,30.6,-86.5,1
10/8/2010,Assateague Island,VA,38,-75.3,1
10/8/2010,Virginia Beach,VA,36.8,-76.1,1
10/7/2010,Okaloosa Island,FL,30.4,-86.6,1
10/7/2010,Eglin Air Force Base,FL,30.6,-86.5,1
10/7/2010,Gulf Shores,AL,30.2,-87.8,1
10/7/2010,Fort Stockton,TX,30.7,-102.8,1
10/7/2010,Metairie,LA,30,-90.2,1
10/7/2010,Pensacola,FL,30.4,-87.2,1
10/7/2010,Junction,TX,30.4,-99.6,1
10/7/2010,Pensacola,FL,30.4,-87.2,1
10/7/2010,Gulf Shores,AL,30.2,-87.8,1
10/7/2010,Assateague Island,VA,38,-75.3,1
