species_code,season,region_type,region_code,region_name,n_cells,abd_ppy_median,abd_ppy_lower,abd_ppy_upper,abd_trend_median,abd_trend_lower,abd_trend_upper
rethaw,breeding,country,BHS,The Bahamas,17,-1.242761054600625,-2.5410459495541646,0.31261966102945293,-11.755144913212211,-22.69324189239078,3.170544229013861
rethaw,breeding,country,BLZ,Belize,3,-0.4456056986197533,-1.585311588187445,1.3597212308333195,-4.367756530418243,-14.768679305535136,14.460087715276092
rethaw,breeding,country,CAN,Canada,7572,-1.515815620016399,-1.9816878055927671,-0.5739289591070349,-14.164898410468318,-18.13991335484725,-5.593308047720036
rethaw,breeding,country,CRI,Costa Rica,34,1.5298222088609483,-0.802872598216776,3.9179064231546503,16.395517840438757,-7.744777997701835,46.86012266374242
rethaw,breeding,country,CUB,Cuba,160,-1.55735340032126,-1.9404589226878977,-0.1277709201297253,-14.526239695792476,-17.794937477058635,-1.2703877427489685
rethaw,breeding,country,DOM,Dominican Republic,68,-0.01539081258610683,-0.855978577174026,1.7854275696905255,-0.15380157489759405,-8.237485586437165,19.35924229261239
rethaw,breeding,country,GTM,Guatemala,99,-0.4886555638703126,-2.3667055272305024,2.249721506562857,-4.780491016908261,-21.299146723439225,24.91694029225664
rethaw,breeding,country,HND,Honduras,123,0.6001502484938104,-1.4025053125913098,2.3539482359656043,6.166205017448001,-13.172199689118557,26.19611914589155
rethaw,breeding,country,HTI,Haiti,47,0.0268284343236299,-0.6280182714123541,0.6971541204063698,0.2686084692667512,-6.105639502181582,7.194367970435556
rethaw,breeding,country,JAM,Jamaica,18,0.0667912154500841,-0.8837298383088027,0.8128873185854054,0.6699232141115674,-8.494013441775705,8.432765119751885
rethaw,breeding,country,MEX,Mexico,2498,-0.2298434442455694,-0.8131198330446536,1.0311117405610457,-2.274806960071274,-7.840034948317054,10.8029491166999
rethaw,breeding,country,NIC,Nicaragua,61,0.39328137022904064,-0.2777863529984105,2.158828016363514,4.003150303227931,-2.743395143108973,23.81093970369037
rethaw,breeding,country,PAN,Panama,12,0.9979416480858574,-1.570451356155668,3.856563809006232,10.43970271380077,-14.63989587165596,45.99550834032576
rethaw,breeding,country,PRI,Puerto Rico,17,0.7306251134249833,-0.635475487744718,1.3865039583242205,7.55120758501544,-6.176077279766245,14.762890542814633
rethaw,breeding,country,SLV,El Salvador,36,0.20598806673072328,-1.1616282910454672,1.0096564731340345,2.0790799175254504,-11.027494426453332,10.567869415377997
rethaw,breeding,country,USA,United States,12231,-0.6019539593989021,-0.9651451835077162,-0.18260836671935377,-5.8590727696132046,-9.242882813192256,-1.811150887877211
rethaw,breeding,country,VGB,British Virgin Islands,2,-0.1314871505582096,-1.5259791610659796,4.103488644112289,-1.3071187302403198,-14.253438876054169,49.50400787733742
rethaw,breeding,country,VIR,United States Virgin Islands,2,-0.23585986159026673,-1.737623541379044,1.466090937898333,-2.3337219746693005,-16.07861693468867,15.666952037675696
rethaw,breeding,rangewide,rangewide,Range-wide,22769,-0.6204606172367051,-1.018510986612833,-0.3193113905699043,-6.034204475324135,-9.73075134236565,-3.147620520027772
rethaw,breeding,state,BHS-5010,City of Freeport,1,-0.7687683850598261,-2.789436647043748,0.7252061616965163,-7.427111149248267,-24.64109149413932,7.493362840020801
rethaw,breeding,state,BHS-5011,West Grand Bahama,3,-0.9305411177228788,-2.574582466715866,0.9427840715752756,-8.925266560019995,-22.958849963979933,9.838043159201648
rethaw,breeding,state,BHS-5012,East Grand Bahama,3,-0.5812659976597842,-4.377401850010767,0.0534465196547791,-5.662951307405962,-36.08461683210869,0.5357524690301929
rethaw,breeding,state,BHS-5014,North Abaco,3,-1.52749790615164,-4.11610232392327,0.7171212940864422,-14.266662478531025,-34.3164226786857,7.407112754246348
rethaw,breeding,state,BHS-5015,Central Abaco,4,-0.19662502725219644,-2.0741658988258096,0.9607730943161924,-1.9489435503587729,-18.908974216484765,10.033942685333352
rethaw,breeding,state,BHS-5016,South Abaco,2,-2.1695830805374996,-4.4798498825217195,1.095504877191701,-19.69565513160816,-36.766100720660376,11.511191163377132
rethaw,breeding,state,BHS-5019,North Andros,6,-1.1602631496982585,-2.1533882152016197,0.4512069976357569,-11.015204908379529,-19.56262009855848,4.6047955399945995
rethaw,breeding,state,BHS-5020,Central Andros,4,-0.7748309231442797,-2.7105573777304866,0.18110919769066763,-7.483653064878382,-24.02737139556401,1.8259237327590936
rethaw,breeding,state,BHS-5021,Mangrove Cay,1,-0.3552085234118676,-3.93353103693761,1.3743603752544735,-3.4958418255088386,-33.05497934907874,14.625507190137842
rethaw,breeding,state,BLZ-1356,Toledo,3,-0.4456056946505631,-1.585311585800568,1.3597212407065666,-4.367756492290075,-14.768679284863753,14.46008782676924
rethaw,breeding,state,CAN-AB,Alberta,1053,-1.1305101591897144,-2.0213064703400105,-0.37503307799093866,-10.74697746033616,-18.47018783387241,-3.687667209907375
rethaw,breeding,state,CAN-BC,British Columbia,1484,-1.8471301332911312,-2.795126636741799,-0.8558028760437015,-17.00918615925002,-24.6851894268741,-8.23585937581457
rethaw,breeding,state,CAN-MB,Manitoba,961,-1.6436764340544312,-2.536531853415267,-0.41851564482270776,-15.272796967063664,-22.657427545033936,-4.1072097955909275
rethaw,breeding,state,CAN-NB,New Brunswick,129,0.25693609137659756,-0.5929126619286159,1.6984729744285108,2.599272644769268,-5.773406638048472,18.343475492044647
rethaw,breeding,state,CAN-NL,Newfoundland and Labrador,157,-1.7297519424030376,-3.3808364630085146,-0.5362407096027966,-16.0113649830251,-29.102204175318725,-5.2348408771032195
rethaw,breeding,state,CAN-NS,Nova Scotia,100,-0.9980400837005502,-2.422878496324978,1.2927459586653725,-9.543886730572629,-21.7507787509036,13.706016862628534
rethaw,breeding,state,CAN-NT,Northwest Territories,114,-1.826995764004228,-3.7749366587815136,-0.710711050513722,-16.83878757532612,-31.941549616954138,-6.884065640756065
rethaw,breeding,state,CAN-NU,Nunavut,16,-1.4996206655354365,-3.246736951597712,1.0323157991704783,-14.023644799072576,-28.11203212129608,10.816154989392768
rethaw,breeding,state,CAN-ON,Ontario,1281,-2.0801491812557575,-2.9486571369466414,-0.9601422526464602,-18.95850732820552,-25.866331897716694,-9.197024734751936
rethaw,breeding,state,CAN-PE,Prince Edward Island,15,-1.549172779835062,-2.6889414181464315,-0.9152031471166776,-14.455184116293465,-23.858405049158215,-8.784166042074693
rethaw,breeding,state,CAN-QC,Québec,1239,-1.429412979740926,-2.8085520994678057,-0.1823295978890904,-13.408865586797136,-24.78914594048588,-1.8084086468543312
rethaw,breeding,state,CAN-SK,Saskatchewan,1005,-0.42616521388272266,-1.423644031273137,0.4524081152127386,-4.180846477156686,-13.35817385508722,4.617304042684478
rethaw,breeding,state,CAN-YT,Yukon,663,-1.3302465515891844,-3.523884754067138,-0.27031916337071377,-12.533765516233542,-30.144906810003143,-2.670544948088305
rethaw,breeding,state,CRI-1327,Cartago,10,1.2182455507233845,-1.5314692520796336,4.040618035285096,12.872476191654346,-14.301232023289522,48.603566899569216
rethaw,breeding,state,CRI-1328,Heredia,2,1.7811559808777666,-0.4833599659023506,3.6901307721555527,19.309160729729236,-4.729806845098095,43.67268961624451
rethaw,breeding,state,CRI-1329,Limón,11,0.7107079822169344,-2.3378800825446806,4.718105992815509,7.338739278712003,-21.06647983467861,58.56881712708957
rethaw,breeding,state,CRI-1330,Puntarenas,15,1.496259345847272,-1.2550878089321391,3.256995436579978,16.01131933031961,-11.865229184476222,37.78274674423485
rethaw,breeding,state,CRI-1331,San José,13,1.6430943047013458,-1.082410008317178,4.2131614464382885,17.700627274234293,-10.31180835786538,51.08651718178293
rethaw,breeding,state,CRI-1333,Alajuela,13,0.4438912246787887,-1.205561759296925,4.097201907484601,4.528637751066156,-11.42218540088541,49.41374798708718
rethaw,breeding,state,CRI-1334,Guanacaste,7,0.45276251964835273,-1.008475999389546,2.265553230822535,4.620995086626589,-9.639192390693651,25.110488893383582
rethaw,breeding,state,CUB-1319,Cienfuegos,11,-1.9592734865132972,-2.360303509628714,-0.949382147145978,-17.952527209512958,-21.24752571155195,-9.098324329409346
rethaw,breeding,state,CUB-1320,Isla de la Juventud,6,-1.957117716761149,-3.2303947522621725,-0.8492223895493642,-17.934484405371588,-27.990516752208272,-8.174934672705858
rethaw,breeding,state,CUB-1321,Pinar del Río,14,-1.843320062444231,-2.508106512713944,-1.2766548556682558,-16.976965387670617,-22.43156070242065,-12.057536773157109
rethaw,breeding,state,CUB-1322,Sancti Spíritus,17,-1.6707536192756225,-2.478246306696946,-0.7727634073930781,-15.505759532876985,-22.19365327399099,-7.464373990573748
rethaw,breeding,state,CUB-1363,Ciego de Ávila,16,-1.9509604782912433,-3.039712524621938,-0.5456440645284695,-17.882931476478614,-26.558938650355536,-5.324394240113617
rethaw,breeding,state,CUB-1364,Camagüey,31,-1.6856558502351229,-2.0857095744167737,-0.3819806774445237,-15.633726983439477,-19.004515101529375,-3.754811981118278
rethaw,breeding,state,CUB-1365,Guantánamo,14,0.03196485340984441,-1.1016331268709565,2.1606355415251626,0.3201087145735526,-10.485951278017492,23.83284766917999
rethaw,breeding,state,CUB-1366,Granma,18,-1.0599213033615742,-1.703089959570048,0.6391663988891979,-10.107695416453431,-15.78321459654648,6.5786729186223525
rethaw,breeding,state,CUB-1367,Holguín,26,-0.792023385410861,-1.5301139853855148,0.5515099069811947,-7.6438285737442495,-14.28943618569255,5.654005045125898
rethaw,breeding,state,CUB-1368,Las Tunas,17,-1.6904750362662118,-2.3947284192858462,-0.4796763215732252,-15.675072638164956,-21.52474386044406,-4.694536364862967
rethaw,breeding,state,CUB-1369,Santiago de Cuba,18,-0.8526816638075252,-1.6214227633056697,0.4542971558662218,-8.206966516135195,-15.080901613158748,4.636979336574321
rethaw,breeding,state,CUB-1428,Ciudad de la Habana,3,-1.016218348182667,-1.4721184086742325,-0.18487141361921144,-9.709840733433484,-13.783288675635408,-1.8334098648057573
rethaw,breeding,state,CUB-1429,Artemisa,7,-0.722487314728077,-2.4106482593505727,-0.09427239098452668,-6.994447413227556,-21.65264647752661,-0.9387346695173716
rethaw,breeding,state,CUB-1430,Matanzas,22,-1.9280971564719591,-2.6874637758917244,-0.7801334448159885,-17.691247777441,-23.846842362661256,-7.533081247799489
rethaw,breeding,state,CUB-1431,Villa Clara,19,-1.9311717109233697,-2.513196456925064,-0.741338083607674,-17.71704793379102,-22.47204881569497,-7.1708951131336125
rethaw,breeding,state,CUB-5489,Mayabeque,10,-1.8105737427392417,-2.972543724592478,-0.6006322179565482,-16.699573779090727,-26.048590106346083,-5.846553669301457
rethaw,breeding,state,DOM-1390,Santiago,10,1.2686784666929083,-0.23588241189299727,3.55370168525709,13.436136286094902,-2.3339427355451248,41.79348615404612
