Date,Town,State/Province,Latitude,Longitude,Number
11/26/2017,Lake Wales,FL,27.9,-81.6,24
11/25/2017,Brownsville,TX,26,-97.5,12
11/25/2017,Saint Petersburg,FL,27.8,-82.6,24
11/18/2017,Carolina Beach,NC,34,-77.9,20
11/16/2017,Sullivan's Island,SC,32.8,-79.9,90
11/15/2017,Cape May Point,NJ,38.9,-75,20
11/14/2017,Pensacola,FL,30.3,-87.4,30
11/11/2017,Townsend,TN,35.6,-83.8,300
11/9/2017,Bolivar Peninsula,TX,29.5,-94.4,200
11/9/2017,Texas City,TX,29.4,-94.9,100
11/5/2017,New York City,NY,40.7,-74,25
11/4/2017,Canton,NC,35.3,-82.8,28
11/4/2017,Buxton,NC,35.3,-75.5,30
11/3/2017,Port Rowan,ON,42.6,-80.4,50
11/3/2017,León,GUA,21.1,-101.7,720
11/3/2017,Mamaroneck,NY,40.9,-73.7,141
11/3/2017,Loma Alta (Loma Alta De Gómez Farías),TAM,22.9,-99,593
11/3/2017,El Sabino,TAM,22.9,-99,90
11/3/2017,San Jose El Alto,QUE,20.7,-100.4,500
11/2/2017,Pensacola,FL,30.4,-87.2,100
11/2/2017,Mamaroneck,NY,40.9,-73.7,170
11/2/2017,Canton,NC,35.3,-82.8,72
11/2/2017,Anniston,AL,33.7,-85.8,12
11/2/2017,Staten Island,NY,40.6,-74.1,9
11/2/2017,Corolla,NC,36.3,-75.8,50
11/1/2017,Cape May Point,NJ,38.9,-75,2000
10/31/2017,Cape May Point,NJ,38.9,-75,750
10/31/2017,Pine Knoll Shores,NC,34.7,-76.8,20
10/31/2017,Emerald Isle,NC,34.6,-77.1,100
10/30/2017,Houston,TX,29.8,-95.4,15
10/30/2017,Monticello,AR,33.6,-91.8,42
10/30/2017,Pensacola,FL,30.4,-87.2,200
10/30/2017,Cape May Point,NJ,38.9,-75,1000
10/30/2017,Sierra Chincua Sanctuary,MI,19.7,-100.3,1300
10/30/2017,Bolivia,NC,33.9,-78.2,200
10/29/2017,Monterrey,NLE,25.7,-100.3,500
10/29/2017,Oaxaca,GUA,21,-100.8,10
10/29/2017,Santiago,NLE,25.4,-100.1,70
10/29/2017,Santa Catarina,NLE,25.7,-100.4,117
10/29/2017,Guanajuato,GUA,21,-101.3,300
10/29/2017,Granjas Residenciales,QUE,20.6,-99.9,1
10/29/2017,Loma Alta (Loma Alta De Gómez Farías),TAM,22.9,-99,23
10/29/2017,Acámbaro,GUA,20,-100.7,30
10/29/2017,Ocampo,MI,19.6,-100.3,300
10/29/2017,La Encantada,NLE,23.9,-99.8,5000
10/29/2017,San Jerónimo,MEX,19.2,-100,70
10/29/2017,El Carricillo,GUA,21.3,-99.8,100
10/29/2017,Ex-Hacienda de Ortega,GUA,21.3,-100.4,300
10/28/2017,Guanajuato,GUA,21,-101.3,300
10/28/2017,New York Botanical Garden,NY,40.9,-73.9,310
10/28/2017,Monterrey,NLE,25.7,-100.3,500
10/28/2017,Franklin,LA,29.7,-91.9,20
10/28/2017,Cape May Point,NJ,38.9,-75,1000
10/28/2017,Agua Dulce,NLE,25.1,-100,10000
10/28/2017,Santa Catarina,NLE,25.7,-100.5,117
10/28/2017,Cd Victoria,TAM,23.7,-99.1,1500
10/28/2017,Gral Zaragoza,NLE,24,-99.8,300
10/28/2017,Cd Victoria,TAM,23.7,-99.1,1500
10/27/2017,Surry,VA,37.4,-77.4,24
10/27/2017,"San Pedro Garza Garcia, N.L.",AGU,25.6,-100.4,134
10/27/2017,San Pedro Garza Garcia,NL,25.6,-100.4,21
10/27/2017,San Pedro Garza Garcia,NL,25.6,-100.4,132
10/27/2017,León,GUA,21.1,-101.7,50
10/27/2017,Purificación,NLE,24.3,-99.7,500
10/27/2017,Larchmont,NY,40.9,-73.9,63
10/27/2017,Pine Knoll Shores,NC,34.7,-76.8,150
10/27/2017,Monterrey,NLE,25.7,-100.3,500
10/27/2017,Santa Catarina,NLE,25.7,-100.5,10000
10/27/2017,Arteaga,COA,25.5,-100.9,14
10/27/2017,Cerro Pelon Sanctuary,MI,19.4,-100.3,12
10/27/2017,Cd Victoria,TAM,23.7,-99.1,900
10/26/2017,Freeport,TX,28.9,-95.3,100
10/26/2017,Toronto,ON,43.7,-79.3,70
10/26/2017,Longs,SC,33.8,-78.7,100
10/26/2017,Monterrey,NLE,25.7,-100.3,30
10/26/2017,Folly Beach,SC,32.7,-79.9,230
10/26/2017,Toronto,ON,43.7,-79.3,70
10/26/2017,Ocean Isle Beach,NC,33.9,-78.4,100
10/26/2017,Monticello,AR,33.6,-91.8,12
10/26/2017,Pine Knoll Shores,NC,34.7,-76.8,300
10/26/2017,Monterrey,NLE,25.7,-100.3,300
10/26/2017,Port Rowan,ON,42.6,-80.4,200
10/26/2017,Apalachicola,FL,29.7,-85.1,50
10/26/2017,Montemorelos,NLE,25.2,-99.8,300
10/26/2017,General Escobedo,NLE,25.8,-100.4,67
10/25/2017,Bracketville,TX,29.3,-100.4,100
10/25/2017,Castaños,COA,26.8,-101.4,1000
10/25/2017,Ramos Arizpe,COA,25.5,-100.9,1000
10/25/2017,Santa Catarina,NLE,25.7,-100.5,1000
10/25/2017,Monterrey,NLE,25.7,-100.3,1000
10/25/2017,Lake Jackson,TX,29,-95.4,50
10/25/2017,Sugar Land,TX,29.6,-95.6,10
10/25/2017,Santa Catarina,NLE,25.6,-100.5,10000
10/25/2017,Wilmore,KY,37.8,-84.7,19
10/25/2017,Rayones,NLE,25,-100.1,60
10/25/2017,Galveston,TX,29.3,-94.8,15
10/25/2017,San Nicolás de los Garza,NLE,25.7,-100.3,1482
10/24/2017,Shreveport,LA,32.4,-93.7,22
10/24/2017,Natalia,TX,29.2,-98.8,16
10/24/2017,Long Beach,NY,40.6,-73.6,100
10/23/2017,Mamaroneck,NY,40.9,-73.7,349
10/23/2017,Glenn Heights,TX,32.6,-96.9,350
10/23/2017,Boerne,TX,29.8,-98.8,50
10/23/2017,Mexia,TX,31.6,-96.4,12
10/23/2017,Del Rio,TX,29.4,-100.9,56
10/23/2017,San Antonio,TX,29.6,-98.5,7
10/23/2017,Menard,TX,30.7,-99.7,10
10/23/2017,Austin,TX,30.3,-98,60
10/23/2017,Caldwell,TX,30.6,-96.5,50
10/23/2017,Niederwald,TX,30,-97.7,700
10/22/2017,Hempstead,NY,40.6,-73.6,15
10/22/2017,Newport News,VA,37.1,-76.5,25
10/22/2017,Crisfield,MD,38,-75.9,100
10/22/2017,Mamaroneck,NY,40.9,-73.7,1351
10/22/2017,Fire Island,NY,40.7,-73.1,20
10/22/2017,Commercial Township,NJ,39.2,-75,50
10/21/2017,Sherman,TX,33.7,-96.8,12
10/21/2017,Menard,TX,30.7,-99.7,50
10/21/2017,Mamaroneck,NY,40.9,-73.7,100
10/20/2017,Brownstown Charter Township,MI,42.1,-83.2,251
10/20/2017,Folly Beach,SC,32.6,-80,50
10/20/2017,Tulsa,OK,36.1,-96,80
10/20/2017,Assateague Island National Seashore,VA,38.1,-75.2,700
10/20/2017,Plano,TX,33.1,-96.8,30
10/20/2017,Highlands,NJ,40.5,-74,101
10/20/2017,Austin,TX,30.4,-97.8,52
10/20/2017,Temple,TX,31.2,-97.6,3000
10/20/2017,Saugeen Shores,ON,44.4,-81.4,24
10/20/2017,Ruckersville,VA,38.2,-78.4,40
10/20/2017,Monmouth Beach,NJ,40.3,-74,200
10/20/2017,Highlands,NJ,40.5,-74,101
10/20/2017,Brighton,ON,44,-77.7,259
10/19/2017,Ventnor City,NJ,39.3,-74.4,20
10/19/2017,West Point,VA,37.5,-76.8,38
10/19/2017,Glenn Heights,TX,32.6,-96.9,475
10/19/2017,Villas del Poniente,NLE,25.8,-100.4,30
10/19/2017,East Tawas,MI,44.3,-83.5,47
10/19/2017,Sinks Grove,WV,37.6,-80.5,13
10/19/2017,Navidad,NLE,25.1,-100.6,20
10/19/2017,Menard,TX,30.7,-99.7,50
10/19/2017,Cape May Point,NJ,38.9,-75,1000
10/19/2017,Dauphin Island,AL,30.3,-88.1,50
10/19/2017,Stratford,CT,41.1,-73.1,40
10/19/2017,Cypress,CA,33.8,-118,25
10/18/2017,Williamsburg,VA,37.4,-77.4,10
10/18/2017,Ajax,ON,43.8,-79,30
10/18/2017,Laredo,TX,27.5,-99.5,100
10/18/2017,Glenn Heights,TX,32.6,-96.9,350
10/18/2017,Toronto,ON,43.7,-79.4,200
10/18/2017,Ocean City,MD,38.4,-75.1,23
10/18/2017,La Grange,TX,29.8,-96.8,24
10/18/2017,Toronto,ON,43.7,-79.2,100
10/18/2017,Tulsa,OK,36.1,-96,50
10/18/2017,Broken Arrow,OK,36,-95.8,18
10/18/2017,North Myrtle Beach,SC,33.8,-78.7,100
10/18/2017,Junction,TX,30.5,-99.8,25
10/18/2017,Guadalupe River State Park,TX,29.9,-98.5,5000
10/18/2017,North Myrtle Beach,SC,33.8,-78.7,25
10/18/2017,North Myrtle Beach,SC,33.8,-78.7,50
10/18/2017,Norwich,NY,42.6,-75.6,20
10/18/2017,Saltillo,COA,25.4,-101,28
10/18/2017,Nunnelly,TN,35.9,-87.5,14
10/17/2017,Withee,WI,45,-90.6,50
10/17/2017,Plano,TX,33.1,-96.8,15
10/17/2017,Rockwall,TX,32.9,-96.5,27
10/17/2017,Seis de Octubre,COA,25.8,-103.2,12
10/17/2017,Cincinnati,OH,39.3,-84.5,12
10/17/2017,Canyon Lake,TX,29.9,-98.2,500
10/17/2017,Canyon Lake,TX,29.9,-98.3,2000
