Date,Town,State/Province,Latitude,Longitude,Number
11/7/2005,Tequisquiapan,QUE,20.3,-99.5,1
11/3/2005,Port Lavaca,TX,28.5,-96.7,1
11/3/2005,Angangueo,MIC,19.6,-100.3,1
11/1/2005,Saltillo,COA,25.4,-101,1
10/31/2005,Governor's Harbour,Central Eleuthera,25.2,-76.2,1
10/28/2005,Angangueo,MIC,19.6,-100.3,1
10/28/2005,Crystal River,FL,29,-82.6,1
10/27/2005,Corpus Christi,TX,27.8,-97.4,1
10/25/2005,Port Lavaca,TX,28.5,-96.7,1
10/25/2005,Saltillo,COA,25.4,-101,1
10/24/2005,Matagorda Bay,TX,28.6,-96.2,1
10/24/2005,George Town,Exuma,23.5,-75.8,1
10/23/2005,Jackson,NJ,40.1,-74.4,1
10/22/2005,Springfield,MO,37.2,-93.3,1
10/22/2005,Eagle Pass,TX,28.5,-100.5,1
10/22/2005,Port O'Connor,TX,28.4,-96.4,1
10/22/2005,Perdido Key,FL,30.3,-87.4,1
10/21/2005,Port Lavaca,TX,28.5,-96.7,1
10/21/2005,Dallas,TX,32.8,-96.8,1
10/20/2005,Glenn Heights,TX,32.5,-96.9,1
10/19/2005,Saltillo,COA,25.4,-101,1
10/17/2005,Phoenix,AZ,33.5,-112.1,1
10/17/2005,Lytle,TX,29.2,-98.8,1
10/17/2005,beach haven surf city,NJ,39.5,-74.3,1
10/17/2005,Montgomery County,MD,39.1,-77.2,1
10/17/2005,Cape May,NJ,39,-74.9,1
10/17/2005,Ramos Arizpe,COA,25.3,-101,1
10/16/2005,San Antonio,TX,29.5,-98.5,1
10/16/2005,Ortley Beach,NJ,39.9,-74.1,1
10/16/2005,Westport,CT,41.1,-73.3,1
10/16/2005,Cedar Park,TX,30.5,-97.8,1
10/16/2005,Hondo,TX,29.4,-99.1,1
10/16/2005,Kerrville,TX,30,-99.1,1
10/16/2005,Austin,TX,30.2,-97.7,1
10/16/2005,Scottsdale,AZ,33.5,-111.9,1
10/16/2005,Sun City West,AZ,33.7,-112.4,1
10/16/2005,durham,NC,36,-78.9,1
10/16/2005,Saltillo,COA,25.4,-101,1
10/16/2005,Saltillo,COA,25.4,-101,1
10/15/2005,San Antonio,TX,29.5,-98.5,1
10/15/2005,Lewisville,TX,33,-97.1,1
10/15/2005,Eagle Pass,TX,28.5,-100.5,1
10/15/2005,Cape Charles,VA,37.3,-76,1
10/15/2005,Sabine Woods,TX,29.7,-93.9,1
10/15/2005,Honey Creek State Natural Area,TX,29.9,-98.5,1
10/15/2005,San Pedro Garza García,NL,25.5,-100.2,1
10/14/2005,San Antonio,TX,29.5,-98.5,1
10/14/2005,Tarpley,TX,29.6,-99.2,1
10/14/2005,Del Rio,TX,29.9,-100.9,1
10/14/2005,Assateague Island,VA,38,-75.3,1
10/14/2005,Uvalde,TX,29.3,-99.9,1
10/14/2005,San Angelo,TX,31.6,-100.5,1
10/14/2005,Canyon Lake,TX,29.9,-98.3,1
10/14/2005,Dallas,TX,32.8,-96.8,1
10/14/2005,San Antonio,TX,29.5,-98.5,1
10/14/2005,Rockwall,TX,32.9,-96.4,1
10/14/2005,Nueces River,TX,27.8,-97.5,1
10/14/2005,San Antonio,TX,29.5,-98.5,1
10/14/2005,Plano,TX,33.1,-96.7,1
10/14/2005,Tijeras,NM,35,-106.3,1
10/13/2005,Dallas,TX,32.8,-96.8,1
10/13/2005,Bedford,TX,32.9,-97.1,1
10/13/2005,Euless,TX,32.9,-97.1,1
10/13/2005,Kerrville,TX,30,-99.1,1
10/13/2005,Arlington,TX,32.6,-97.2,1
10/13/2005,Southlake,TX,33,-97.1,1
10/13/2005,Bend,TX,31.1,-98.5,1
10/13/2005,Carrollton,TX,33,-96.9,1
10/13/2005,Hewitt,TX,31.5,-97.2,1
10/13/2005,San Antonio,TX,29.5,-98.5,1
10/13/2005,Lake Ray Hubbard,TX,32.8,-96.5,1
10/13/2005,Wimberley,TX,30.1,-98.1,1
10/13/2005,Carrollton,TX,33,-96.9,1
10/13/2005,Bee Cave,TX,30.3,-97.9,1
10/13/2005,Lucas,TX,33.1,-96.6,1
10/13/2005,San Antonio,TX,29.5,-98.5,1
10/13/2005,Monclova,COA,26.8,-101.5,1
10/12/2005,Austin,TX,30.2,-97.7,1
10/12/2005,Pilot Point,TX,33.3,-96.9,1
10/12/2005,Hewitt,TX,31.5,-97.2,1
10/12/2005,Jollyville,TX,30.4,-97.8,1
10/12/2005,Dallas,TX,32.8,-96.8,1
10/12/2005,Richardson,TX,33,-96.7,1
10/12/2005,Piedras Negras,COA,28.4,-100.3,1
10/12/2005,Saltillo,COA,25.4,-101,1
10/11/2005,Dallas,TX,32.8,-96.8,1
10/11/2005,Dallas,TX,32.8,-96.8,1
10/11/2005,Waxahachie,TX,32.3,-96.8,1
10/11/2005,Seagoville,TX,32.6,-96.6,1
10/11/2005,White Shaman Preserve,TX,29.4,-100.9,1
10/11/2005,Eagle Pass,TX,28.5,-100.5,1
10/11/2005,Sonora,TX,30.5,-100.5,1
10/11/2005,Kennesaw,GA,34,-84.6,1
10/11/2005,Dallas,TX,32.8,-96.8,1
10/11/2005,Cedar Hill,TX,32.6,-97,1
10/11/2005,Allen,TX,33.1,-96.6,1
10/11/2005,Elizabethton,TN,36.4,-82.1,1
10/11/2005,Austin,TX,30.2,-97.7,1
10/11/2005,Muenster,TX,33.7,-97.4,1
10/11/2005,Monclova,COA,26.8,-101.5,1
10/11/2005,Piedras Negras,COA,28.4,-100.3,1
10/11/2005,Richardson,TX,33,-96.7,1
10/10/2005,Cub Run,KY,37.3,-86.1,1
10/10/2005,Cleburne,TX,32.3,-97.5,1
10/10/2005,Dallas,TX,32.8,-96.8,1
10/10/2005,Slaton,TX,33.4,-101.7,1
10/10/2005,Royse City,TX,33,-96.4,1
10/10/2005,Del Rio,TX,29.9,-100.9,1
10/10/2005,Plano,TX,33.1,-96.7,1
10/10/2005,Devils River State Natural Area,TX,29.9,-100.9,1
10/9/2005,Mc Kinney,TX,33.2,-96.6,1
10/9/2005,Evansville,IN,38,-87.6,1
10/9/2005,Eagle Pass,TX,28.5,-100.5,1
10/9/2005,Junction,TX,30.4,-99.6,1
10/9/2005,Austin,TX,30.2,-97.7,1
10/9/2005,Old Glory,TX,33.3,-100.1,1
10/9/2005,Austin,TX,30.2,-97.7,1
10/9/2005,Collin County,TX,33.2,-96.6,1
10/9/2005,Bertram,TX,30.7,-98,1
10/9/2005,Acuña,COA,29,-101,1
10/8/2005,Camp Wood,TX,29.7,-100,1
10/8/2005,Irving,TX,32.9,-97,1
10/8/2005,Mc Kinney,TX,33.2,-96.6,1
10/8/2005,Dallas,TX,32.8,-96.8,1
10/8/2005,Del Rio,TX,29.9,-100.9,1
10/8/2005,Junction,TX,30.4,-99.6,1
10/8/2005,Vance,TX,29.8,-100,1
10/8/2005,Haltom City,TX,32.8,-97.3,1
10/8/2005,Dallas,TX,32.8,-96.8,1
10/8/2005,Menard,TX,30.9,-99.8,1
10/8/2005,Plano,TX,33.1,-96.7,1
10/8/2005,Dallas,TX,32.8,-96.8,1
10/8/2005,Dallas,TX,32.8,-96.8,1
10/8/2005,Texarkana,AR,33.5,-93.9,1
10/7/2005,Knoxville,TN,35.9,-84,1
10/6/2005,Odessa,TX,31.8,-102.3,1
10/6/2005,Syracuse,NY,43,-76.2,1
10/6/2005,Fort McKavett,TX,30.8,-100.1,1
10/6/2005,Coleman,TX,31.9,-99.4,1
10/5/2005,Woodlawn,VA,36.8,-80.9,1
10/5/2005,Calumet,OK,35.6,-98.2,1
10/5/2005,Tulsa,OK,36.1,-96,1
10/5/2005,Lawton,OK,34.5,-98.3,1
10/5/2005,Lake George,NY,43.4,-73.7,1
10/5/2005,St. Louis,MO,38.6,-90.2,1
10/4/2005,Weiner,AR,35.6,-90.9,1
10/4/2005,Bowie,MD,39,-76.7,1
10/4/2005,St. Paul,AR,35.9,-93.7,1
10/4/2005,Sonora,TX,30.5,-100.5,1
10/4/2005,Odessa,TX,31.8,-102.3,1
10/4/2005,KIngfisher,OK,35.9,-98,1
10/4/2005,Tipton,MO,38.6,-92.8,1
10/4/2005,Ozona,TX,30.7,-101.4,1
