Date,Town,State/Province,Latitude,Longitude,Number
11/14/2013,La Florida,TAM,23.4,-99.5,5000
11/12/2013,Irapuato,GUA,20.7,-101.4,30
11/11/2013,Lakeway,TX,30.4,-98,1000
11/11/2013,San Antonio,TX,29.5,-98.5,300
11/9/2013,Parker,AZ,33.8,-114.1,100
11/8/2013,Port Lavaca,TX,28.5,-96.7,42
11/8/2013,Sabina,NL,52.4,4.9,15
11/5/2013,Jaumave,TAM,23.4,-99.5,6000
11/5/2013,San Miguel de Allende,GUA,20.9,-100.7,90
11/3/2013,Monterrey,NL,25.7,-100.3,7
11/3/2013,Gómez Farías,TAM,23,-99.2,475
11/1/2013,dripping springs,TX,30.3,-98.1,35
11/1/2013,Monterrey,NL,25.7,-100.3,50
11/1/2013,Monterrey,NL,25.7,-100.3,100
10/30/2013,Saltillo,COA,25.4,-101,26
10/29/2013,Glenn Heights,TX,32.5,-96.9,200
10/28/2013,Iturbide,NL,24.9,-99.6,100
10/28/2013,Iturbide,NL,24.7,-99.9,100
10/28/2013,Saltillo,COA,25.4,-101,40
10/28/2013,Saltillo,COA,25.4,-101,100
10/25/2013,Folly Beach,SC,32.7,-80,20
10/25/2013,Folly Beach,SC,32.7,-80,300
10/25/2013,Garza García,NL,25.8,-100.3,100
10/24/2013,San Rafael,NL,25,-100.6,50
10/23/2013,Celina,TX,33.3,-96.8,20
10/23/2013,Monterrey,NL,25.7,-100.3,40
10/23/2013,Municipio de García,NL,25.7,-100.4,350
10/23/2013,Gause,TX,30.8,-96.7,18
10/23/2013,Monterrey,NL,25.7,-100.3,1000
10/23/2013,Kingsville,TX,27.5,-97.7,121
10/23/2013,Garza García,NL,25.8,-100.3,200
10/23/2013,Saltillo,COA,25.4,-101,50
10/23/2013,Saltillo,COA,25.4,-101,50
10/23/2013,Huntington Beach,CA,33.7,-118,300
10/22/2013,Saltillo,COA,25.4,-101,30
10/22/2013,Avinger,TX,32.9,-94.6,8
10/22/2013,Juárez,NL,25.7,-100.1,500
10/22/2013,Sunset Beach,NC,33.9,-78.5,30
10/22/2013,Saltillo,COA,25.4,-101,60
10/22/2013,Los Pinolillos,NL,25.6,-100.1,225
10/22/2013,West Cape May,NJ,38.9,-74.9,49
10/22/2013,Monterrey,NL,25.7,-100.3,100
10/21/2013,Eagle Pass,TX,28.5,-100.5,383
10/21/2013,Mason,TX,30.7,-99.2,100
10/21/2013,Castaños,COA,26.8,-101.4,25
10/21/2013,Utopia,TX,29.6,-99.6,500
10/21/2013,Put-in-Bay,OH,41.7,-82.8,100
10/21/2013,Jaumave,TAM,23.4,-99.4,100
10/21/2013,Texarkana,TX,33.4,-94.2,7
10/20/2013,Dripping Springs,TX,30.3,-98.1,14
10/20/2013,Jamestown,KY,36.9,-85.1,10
10/20/2013,Uvalde,TX,29.2,-99.8,729
10/20/2013,Maxwell,TX,29.9,-97.8,100
10/20/2013,Point Lookout,MD,38,-76.3,1
10/20/2013,Piedras Negras,COA,28.7,-100.5,63
10/18/2013,Fremont,CA,37.6,-122,58
10/18/2013,Fort Morgan,AL,30.2,-88,20
10/18/2013,Kerrville,TX,30,-99.1,200
10/18/2013,Ocean City,MD,38.4,-75.1,45
10/18/2013,San Angelo,TX,31.6,-100.5,50
10/17/2013,Boerne,TX,29.9,-98.7,85
10/17/2013,Euless,TX,32.9,-97.1,25
10/17/2013,Fort Worth,TX,32.9,-97.3,15
10/17/2013,Weatherford,TX,32.8,-97.7,40
10/17/2013,Kerrville,TX,30,-99.1,383
10/17/2013,Argyle,TX,33.1,-97.2,50
10/17/2013,Mc Kinney,TX,33.2,-96.6,30
10/17/2013,Springtown,TX,33,-97.7,30
10/17/2013,Keller,TX,32.9,-97.3,21
10/17/2013,Kingsland,TX,30.7,-98.5,222
10/16/2013,Chalk Mountain,TX,32.1,-97.9,50
10/16/2013,Brunswick County,NC,34.1,-78.3,18
10/16/2013,Durham county,NC,36,-78.9,60
10/16/2013,Fort Hood,TX,31.3,-97.7,200
10/16/2013,Chalk Mountain,TX,32.1,-97.9,50
10/16/2013,Burnet,TX,30.8,-98.3,1000
10/16/2013,Falls Lake,NC,36,-78.7,37
10/16/2013,Cd. Victoria,TAM,23.7,-99.1,50
10/15/2013,Boerne,TX,29.8,-98.8,100
10/15/2013,Chalk Mountain,TX,32.1,-97.9,75
10/15/2013,Douglassville,TX,33.2,-94.4,150
10/14/2013,Chalk Mountain,TX,32.1,-97.9,100
10/13/2013,Wichita Falls,TX,34,-98.5,80
10/13/2013,Chalk Mountain,TX,32.1,-97.9,200
10/12/2013,Dallas,TX,32.8,-96.8,1000
10/12/2013,Boerne,TX,29.8,-98.8,50
10/12/2013,Chalk Mountain,TX,32.1,-97.9,200
10/12/2013,Acton Nature Center,TX,32.4,-97.7,165
10/12/2013,Boerne,TX,29.8,-98.8,50
10/12/2013,Fort Worth,TX,32.7,-97.3,50
10/11/2013,Junction,TX,30.4,-99.6,50
10/11/2013,mascoutah,IL,38.5,-89.8,14
10/11/2013,Dallas,TX,32.8,-96.8,80
10/11/2013,rowlett,TX,32.9,-96.6,45
10/11/2013,Springfield,MO,37.2,-93.3,20
10/11/2013,Glenn Heights,TX,32.6,-96.9,850
